"","FoodType","ProvinceCode","N","Average_New","KCalories","Protein","Average_Protein"
"341","Berenj",20,141,47.0372344250804,1.2,0.09,4.23335109825724
"342","Ghand",20,302,35.652931728284,4,0.03,1.06958795184852
"343","Goosht",20,88,4.58208589797235,2.5,0.225,1.03096932704378
"344","Hoboobat",20,141,6.62350438765149,3,0.1,0.662350438765149
"345","Khoshkbar",20,9,0.22244867440358,6,0.2,0.0444897348807161
"346","Mahi",20,37,0.950456208511903,1,0.22,0.209100365872619
"347","Makarooni",20,268,30.4058996781909,3.6,0.0642857142857143,1.95466497931227
"348","Mast",20,216,23.4963324629729,1.5,0.04,0.939853298518916
"349","Mive",20,324,107.284966450889,0.5,0,0
"350","Morgh",20,301,34.0548134145489,2,0.22,7.49205895120076
"351","Nan",20,333,425.333359918963,2.5,0.10125,43.065002691795
"352","Panir",20,288,8.1903198568492,2.5,0.333333333333333,2.73010661894973
"353","Roghan",20,313,41.7823178991471,8,0,0
"354","Sabzi",20,331,86.0007133872473,0.5,0.04,3.44002853548989
"355","Shir",20,238,49.0232500685912,2.5,0.0321428571428571,1.57574732363329
"356","Sibzamini",20,341,46.5319804129495,0.9,0.03,1.39595941238848
"357","Tokhmemorgh",20,310,18.7253165132818,1.4,0.0882352941176471,1.65223380999545
"358","Berenj",21,120,51.7261577515493,1.2,0.09,4.65535419763943
"359","Ghand",21,248,45.4143736310155,4,0.03,1.36243120893047
"360","Goosht",21,94,8.54507767054944,2.5,0.225,1.92264247587362
"361","Hoboobat",21,143,10.3397890306567,3,0.1,1.03397890306567
"362","Khoshkbar",21,40,1.9246364668964,6,0.2,0.384927293379281
"363","Mahi",21,37,2.59119021509104,1,0.22,0.570061847320028
"364","Makarooni",21,195,25.1095260536794,3.6,0.0642857142857143,1.61418381773653
"365","Mast",21,192,34.1888500415269,1.5,0.04,1.36755400166108
"366","Mive",21,240,233.027054547162,0.5,0,0
"367","Morgh",21,221,39.0249643592603,2,0.22,8.58549215903726
"368","Nan",21,272,361.577568993568,2.5,0.10125,36.6097288605988
